854;605;604;40;1.478;973;0;37.4;3740;9.6;-1.32;0.96 
1199;639;605;47;1.478;976;0;37.4;3720;9.4;-1.24;0.64 
5540;4214;639;43;1.457;974;0;37.4;3730;9.6;-1.16;0.64 
5884;379;4214;43;1.457;976;0;37.4;3720;9.6;-0.88;0.8 
10026;4179;379;43;1.457;974;0;37.4;3720;9.6;-2.2;0.32 
10711;763;4179;38;1.457;976;0;37.4;3730;9.6;-1.92;0.76 
11397;652;763;38;1.457;975;0;37.4;3720;9.4;-2;0.68 
12774;1292;652;41;1.443;975;0;37.4;3740;9.6;-1.76;0.64 
13461;813;1292;44;1.443;977;0;37.4;3730;9.6;-1.88;0.52 
15178;1715;813;43;1.45;976;0;37.4;3730;9.6;-1.84;0.4 
16203;853;1715;42;1.45;976;0;37.4;3750;9.6;-1.68;0.52 
17585;1597;853;46;1.45;976;0;37.3;3720;9.6;-1.8;0.44 
18624;752;1597;45;1.45;977;0;37.4;3740;9.6;-1.68;0.52 
19310;793;752;46;1.45;976;0;37.4;3740;9.6;-1.68;0.6 
20341;914;793;48;1.416;977;0;37.4;3730;9.6;-1.64;0.48 
21714;1621;914;47;1.416;977;0;37.4;3720;9.4;-1.56;0.12 
23778;1851;1621;47;1.416;977;0;37.4;3730;9.6;-1.6;0.4 
25844;942;1851;46;1.403;978;0;37.4;3730;9.6;-1.56;0.72 
26903;1741;942;44;1.403;977;0;37.4;3730;9.4;-1.44;0.68 
27879;1696;1741;42;1.403;977;0;37.4;3720;9.6;-1.44;0.68 
28665;706;1696;42;1.384;976;0;37.4;3730;9.6;-1.48;0.6 
29999;746;706;42;1.416;976;0;37.4;3730;9.6;-1.36;0.52 
31918;1749;746;46;1.462;977;0;37.4;3740;9.4;-1.24;0.08 
33889;924;1785;50;1.44;977;0;37.4;3730;9.6;-1.36;0.4 
33889;1785;1749;50;1.44;977;0;37.4;3730;9.6;-1.36;0.4 
34789;850;924;50;1.44;977;0;37.4;3730;9.6;-1.36;0.48 
35921;832;850;49;1.403;977;0;37.4;3720;9.6;-1.44;0.36 
37888;1801;832;48;1.403;976;0;37.4;3720;9.6;-1.4;0.44 
38881;797;1801;48;1.403;976;0;37.4;3730;9.6;-1.36;0.44 
40904;2718;797;46;1.403;974;0;37.4;3700;9.6;-1.32;0.48 
42891;1621;2718;45;1.512;974;0;37.4;3710;9.4;-1.44;0.76 
43882;843;1621;46;1.512;975;0;37.3;3730;9.6;-2.4;0.32 
44890;672;752;46;1.492;975;0;37.3;3730;9.6;-2.2;0.72 
44890;752;843;46;1.492;975;0;37.3;3730;9.6;-2.2;0.72 
45885;648;672;47;1.452;975;0;37.4;3720;9.4;-1.84;0.76 
46864;655;632;51;1.43;974;0;37.4;3730;9.6;-1.76;0.72 
46864;632;648;51;1.43;974;0;37.4;3730;9.6;-1.76;0.72 
48881;1624;655;50;1.464;974;0;37.4;3730;9.6;-1.68;0.84 
49885;840;1624;52;1.464;974;0;37.4;3740;9.6;-1.68;0.84 
50881;858;840;54;1.442;973;0;37.4;3700;9.6;-1.6;0.84 
52881;2599;858;50;1.442;973;0;37.4;3730;9.6;-1.56;0.8 
53890;757;2599;50;1.541;973;0;37.4;3740;9.6;-1.52;0.92 
54880;764;757;52;1.515;973;0;37.4;3730;9.6;-1.48;0.88 
55863;815;764;54;1.492;973;0;37.4;3730;9.6;-1.4;0.64 
56894;1670;815;52;1.492;972;0;37.4;3730;9.6;-1.44;0.8 
58897;1699;1670;50;1.469;972;0;37.4;3740;9.6;-1.4;0.88 
59878;938;1699;50;1.469;971;0;37.4;3720;9.6;-1.56;1.28 
